,car_park_no,address,car_park_type,type_of_parking_system,free_parking,night_parking,car_park_basement,address_adj,Name (English),Region
1308,HG68,BLK 838A HOUGANG CENTRAL,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,HOUGANG,HOUGANG,North-East
1309,HG69,BLK 850A HOUGANG CENTRAL,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,HOUGANG,HOUGANG,North-East
1310,HG7,BLK 109-127 HOUGANG AVENUE 1,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,HOUGANG,HOUGANG,North-East
1311,HG70,BLK 567A HOUGANG STREET 51,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,HOUGANG,HOUGANG,North-East
1312,HG71,BLK 574A HOUGANG STREET 51,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,HOUGANG,HOUGANG,North-East
1313,HG72,BLK 576A HOUGANG AVENUE 4,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,HOUGANG,HOUGANG,North-East
1314,HG73,BLK 909A HOUGANG STREET 91,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,HOUGANG,HOUGANG,North-East
1315,HG74,BLK 166A HOUGANG AVENUE 1,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,HOUGANG,HOUGANG,North-East
1316,HG75,BLK 172A HOUGANG AVENUE 1,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,HOUGANG,HOUGANG,North-East
1317,HG76,BLK 159A HOUGANG STREET 11,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,HOUGANG,HOUGANG,North-East
1318,HG77,BLK 919A HOUGANG AVENUE 4,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,HOUGANG,HOUGANG,North-East
1319,HG78,BLK 925A HOUGANG STREET 91,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,HOUGANG,HOUGANG,North-East
1320,HG79,BLK 931A HOUGANG STREET 91,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,NO,N,HOUGANG,HOUGANG,North-East
1321,HG80,BLK 941A HOUGANG STREET 92,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,HOUGANG,HOUGANG,North-East
1322,HG81,DEFU LANE 1,SURFACE CAR PARK,COUPON PARKING,NO,NO,N,HOUGANG,HOUGANG,North-East
1323,HG82,DEFU LANE 2,SURFACE CAR PARK,COUPON PARKING,NO,NO,N,HOUGANG,HOUGANG,North-East
1324,HG83,DEFU LANE 3,SURFACE CAR PARK,COUPON PARKING,NO,NO,N,HOUGANG,HOUGANG,North-East
1325,HG84,DEFU LANE 5,SURFACE CAR PARK,COUPON PARKING,NO,NO,N,HOUGANG,HOUGANG,North-East
1326,HG85,DEFU LANE 6,SURFACE CAR PARK,COUPON PARKING,NO,NO,N,HOUGANG,HOUGANG,North-East
1327,HG86,BLK 946A HOUGANG STREET 92,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,HOUGANG,HOUGANG,North-East
1328,HG87,BLK 955A HOUGANG AVENUE 9,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,HOUGANG,HOUGANG,North-East
1329,HG88,BLK 699D HOUGANG STREET 52,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,HOUGANG,HOUGANG,North-East
1330,HG89,BLK 435A HOUGANG AVE 8,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,HOUGANG,HOUGANG,North-East
1331,HG9,BLK 201-204 HOUGANG STREET 21,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,HOUGANG,HOUGANG,North-East
1332,HG9T,BLK 206 HOUGANG ST 21,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,HOUGANG,HOUGANG,North-East
1333,HG90,BLK 966A HOUGANG AVENUE 9,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,HOUGANG,HOUGANG,North-East
1334,HG91,BLK 971A HOUGANG STREET 91,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,HOUGANG,HOUGANG,North-East
1335,HG92,BLK 373A HOUGANG STREET 31,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,HOUGANG,HOUGANG,North-East
1336,HG93,BLK 980 BUANGKOK CRESCENT,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,HOUGANG,HOUGANG,North-East
1337,HG94,BLK 984 BUANGKOK LINK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,HOUGANG,HOUGANG,North-East
1338,HG95,BLK 105 HOUGANG AVENUE 1,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,HOUGANG,HOUGANG,North-East
1339,HG96,BLK 108 HOUGANG AVE 1,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,HOUGANG,HOUGANG,North-East
1340,HG97,BLK 804 HOUGANG AVE 10,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,HOUGANG,HOUGANG,North-East
1341,HG98,BLK 988 BUANGKOK GREEN,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,HOUGANG,HOUGANG,North-East
1342,HG99,BLK 174A-174D HOUGANG AVENUE 1,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,HOUGANG,HOUGANG,North-East
1343,H3BL,"BLK 991A TO 991B,992A TO 992B BUANGKOK LINK",SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,HOUGANG,HOUGANG,North-East
1344,H3DL,"BLK 998A TO 998B,999A TO 999B BUANGKOK CRESCENT",SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,HOUGANG,HOUGANG,North-East
1345,H42A,"BLK 644,645,652,655 HOUGANG AVENUE 8",SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,YES,N,HOUGANG,HOUGANG,North-East
1346,H6,BLK 77/79 GANGES AVENUE,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,HOUGANG,HOUGANG,North-East
1347,H6M,BLK 78A INDUS RD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,HOUGANG,HOUGANG,North-East
1348,H8,BLKS 4-8 TAMAN HO SWEE,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,HOUGANG,HOUGANG,North-East
1349,H87L,BLK 950 TO 976 HOUGANG AVE 9 /STREET 91,SURFACE CAR PARK,COUPON PARKING,NO,NO,N,HOUGANG,HOUGANG,North-East
1350,H93L,"BLK 978C TO 981D, 982, 987A TO 988C BUANKOK CRESCENT/GREEN",SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,HOUGANG,HOUGANG,North-East
1351,HLM,BLK 533A HONG LIM MSCP,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,OUTRAM,OUTRAM,Central
1352,KAB,BLK 334 KRETA AYER BASEMENT CAR PARK,BASEMENT CAR PARK,ELECTRONIC PARKING,NO,YES,Y,OUTRAM,OUTRAM,Central
1353,KAM,BLK 335 KRETA AYER MSCP,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,OUTRAM,OUTRAM,Central
1354,KAML,KAM KRETA AYER (LOADING BAY),SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,OUTRAM,OUTRAM,Central
1355,KAS,BLK 333 KRETA AYER CAR PARK,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,OUTRAM,OUTRAM,Central
1356,SLS,BLK 4 SAGO LANE CAR PARK,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,OUTRAM,OUTRAM,Central
1357,SPM,BLK 108 SPOTTISWOODE PARK MSCP,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,OUTRAM,OUTRAM,Central
1358,SPS,BLK 101/102 SPOTTISWOODE PARK CAR PARK,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,OUTRAM,OUTRAM,Central
1359,SRS,BLK 1-2 SPOONER ROAD,SURFACE CAR PARK,COUPON PARKING,NO,YES,N,OUTRAM,OUTRAM,Central
1360,TPL,BLK 5/7 TANJONG PAGAR,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,OUTRAM,OUTRAM,Central
1361,TPM,BLK 1/6 TANJONG PAGAR MSCP,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,OUTRAM,OUTRAM,Central
1362,UCS,BLK 34 UPPER CROSS STREET CAR PARK,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,YES,N,OUTRAM,OUTRAM,Central
1363,JM1,BLK 517B JURONG WEST STREET 52,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1364,JM10,BLK 648 JURONG WEST ST 61,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1365,JM11,BLK 686 JURONG WEST CENTRAL 1,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1366,JM12,BLK 624A JURONG WEST STREET 61,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1367,JM13,BLK 601A JURONG WEST STREET 62,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1368,JM14,BLK 635A JURONG WEST STREET 65,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1369,JM15,BLK 617A JURONG WEST STREET 65,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1370,JM16,BLK 659 JURONG WEST ST 65,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1371,JM17,BLK 660 JURONG WEST ST 64,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1372,JM18,BLK 629A JURONG WEST ST 65,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1373,JM19,BLK 273 JURONG WEST AVENUE 3,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1374,JM2,BLK 682 JURONG WEST CENTRAL 1,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1375,JM20,BLK 657 JURONG WEST STREET 65,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1376,JM21,BLK 651 JURONG WEST STREET 61,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1377,JM22,BLK 674 JURONG WEST STREET 65,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1378,JM23,BLK 276 JURONG WEST STREET 25,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1379,JM24,BLK 655 JURONG WEST STREET 61,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1380,JM25,BLK 673 JURONG WEST ST 65,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1381,JM26,BLK 675 JURONG WEST ST 64,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1382,JM27,BLK 676 JURONG WEST ST 64,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1383,JM28,BLK 990 JURONG WEST ST 93,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1384,JM29,BLK 986 JURONG WEST ST 93,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1385,JM3,BLK 679 JURONG WEST CENTRAL 1,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1386,JM30,BLK 271 JURONG WEST ST 24,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1387,JM31,BLK 638A JURONG WEST ST 61,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,JURONG WEST,JURONG WEST,West
1388,JM32,697 JURONG WEST CTRL 3,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,JURONG WEST,JURONG WEST,West
1389,JM4,BLK 684 JURONG WEST ST 64,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1390,JM5,BLK 664 JURONG WEST ST 64,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1391,JM6,BLK 663 JURONG WEST ST 65,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1392,JM7,BLK 669 JURONG WEST ST 64,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1393,JM8,BLK 667 JURONG WEST ST 65,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1394,JM9,BLK 650 JURONG WEST ST 61,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1395,JRM,BLK 814 JELLICOE ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1396,JRTM,BLK 37A JALAN RUMAH TINGGI,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1397,JSA1,BLK 499 JURONG WEST ST 41,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1398,JSR2,BLK 686 JURONG WEST CTRL 1,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,JURONG WEST,JURONG WEST,West
1399,JS1L,BLK 692A JURONG WEST CTRL 3,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,JURONG WEST,JURONG WEST,West
1400,JS3L,BLK 624A JURONG WEST ST 61 (SERVICE ROAD),SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,JURONG WEST,JURONG WEST,West
1401,JS4L,BLK 337 TAH CHING RD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,JURONG WEST,JURONG WEST,West
1402,JS5L,BLK 647A JURONG WEST ST 61,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,JURONG WEST,JURONG WEST,West
1403,J27,BLK 521/524 JURONG WEST STREET 52,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1404,J28,BLK 525/527 JURONG WEST STREET 52,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1405,J29,BLK 528/534 JURONG WEST STREET 52,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1406,J30,BLK 530/536 JURONG WEST STREET 52,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1407,J32,BLK 515/517 JURONG WEST STREET 52,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1408,J33,BLK 518/520 JURONG WEST STREET 52,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1409,J34,BLK 513/514 JURONG WEST STREET 52,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1410,J35,BLK 508/511 JURONG WEST STREET 51/52,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1411,J36,BLK 543/551 JURONG WEST STREET 42,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1412,J37,BLK 537/542 JURONG WEST AVENUE 1,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1413,J38,BLK 505/508 JURONG WEST STREET 52,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,JURONG WEST,JURONG WEST,West
1414,J39,BLK 456-461 JURONG WEST STREET 41,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1415,J40,BLK 462-467 JURONG WEST STREET 41,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1416,J41,BLK 468-473 JURONG WEST STREET 41,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,JURONG WEST,JURONG WEST,West
1417,J42,BLK 474 JURONG WEST STREET 41,SURFACE CAR PARK,COUPON PARKING,NO,NO,N,JURONG WEST,JURONG WEST,West
